epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.8947,2.2013,4.77272,1.66853,0.12953,0.33032,0.17648,0.08278,1.9055,2.72926,1.38197,0.000276141,0.000276141,0.000276141
2,26.1958,1.87945,3.37604,1.41953,0.31637,0.33367,0.25635,0.13584,1.70605,2.38046,1.33774,0.000498981,0.000498981,0.000498981
3,36.7749,1.76457,3.1174,1.35775,0.44987,0.24775,0.34264,0.1736,1.64254,2.17567,1.27126,0.000666842,0.000666842,0.000666842
4,46.7706,1.69943,2.84009,1.3421,0.18221,0.70407,0.33575,0.17969,1.58528,2.23801,1.28636,0.000585599,0.000585599,0.000585599
5,56.1647,1.65759,2.63848,1.30697,0.2701,0.48701,0.37231,0.21116,1.50087,2.03237,1.23213,0.000503132,0.000503132,0.000503132
6,65.782,1.5899,2.44207,1.24306,0.49034,0.37944,0.44417,0.25512,1.49908,1.82876,1.21781,0.000420665,0.000420665,0.000420665
7,76.9338,1.57571,2.28528,1.25206,0.36431,0.55169,0.48993,0.27773,1.47261,1.8153,1.16243,0.000338198,0.000338198,0.000338198
8,87.9024,1.53405,2.19413,1.19997,0.41387,0.69281,0.58818,0.33766,1.46399,1.61779,1.15787,0.000255731,0.000255731,0.000255731
9,98.9874,1.51488,2.04556,1.2052,0.51236,0.58545,0.62103,0.34904,1.46124,1.57307,1.1659,0.000173264,0.000173264,0.000173264
10,110.19,1.4831,1.96527,1.19934,0.50135,0.67568,0.65335,0.38506,1.41362,1.45517,1.15149,9.0797e-05,9.0797e-05,9.0797e-05
